Split	Annotator.ID	Display.Position	Sentence.ID	Pred.Token	Pred.Lemma	Is.Predicate	Is.Understandable	Happened	Confidence
train	7	1	en-ud-train.conllu 9580	2	look	true	true	false	1
train	1	1	en-ud-train.conllu 9580	2	look	true	true	true	4
dev	1	1	en-ud-dev.conllu 1355	20	pay	true	true	false	4
dev	23	1	en-ud-dev.conllu 1355	20	pay	true	true	false	3
train	7	1	en-ud-train.conllu 4764	2	tell	true	true	true	4
train	18	1	en-ud-train.conllu 4764	2	tell	true	true	true	4
train	7	1	en-ud-train.conllu 9598	3	offer	true	true	true	4
train	14	1	en-ud-train.conllu 9598	3	offer	true	true	true	3
train	6	1	en-ud-train.conllu 118	16	treat	true	true	true	4
train	1	1	en-ud-train.conllu 118	16	treat	true	true	true	4
train	16	1	en-ud-train.conllu 4798	3	show	true	true	true	4
train	20	1	en-ud-train.conllu 4798	3	show	true	true	true	3
dev	8	1	en-ud-dev.conllu 1379	17	attack	true	true	true	4
dev	14	1	en-ud-dev.conllu 1379	17	attack	true	true	true	4
train	6	1	en-ud-train.conllu 4872	2	need	true	true	true	4
train	14	1	en-ud-train.conllu 4872	2	need	true	true	true	4
train	8	1	en-ud-train.conllu 9621	15	see	true	true	true	2
train	1	1	en-ud-train.conllu 9621	15	see	true	true	false	3
train	7	1	en-ud-train.conllu 125	19	see	true	true	true	4
train	1	1	en-ud-train.conllu 125	19	see	true	true	true	1
dev	12	1	en-ud-dev.conllu 1417	2	have	false	true	na	na
dev	4	1	en-ud-dev.conllu 1417	2	have	false	true	na	na
train	1	1	en-ud-train.conllu 9633	7	do	true	true	true	4
train	10	1	en-ud-train.conllu 9633	7	do	true	true	true	4
train	16	1	en-ud-train.conllu 4942	6	have	true	true	false	4
train	7	1	en-ud-train.conllu 4942	6	have	true	true	false	4
dev	8	1	en-ud-dev.conllu 1434	9	get	true	true	false	3
dev	21	1	en-ud-dev.conllu 1434	9	get	true	true	false	2
train	16	1	en-ud-train.conllu 145	6	use	true	true	true	2
train	1	1	en-ud-train.conllu 145	6	use	true	true	true	4
train	1	1	en-ud-train.conllu 9660	7	call	true	true	false	3
train	16	1	en-ud-train.conllu 9660	7	call	true	true	false	4
train	18	1	en-ud-train.conllu 4993	17	have	true	true	true	2
train	21	1	en-ud-train.conllu 4993	17	have	true	true	true	3
dev	14	1	en-ud-dev.conllu 1598	11	look	true	true	true	4
dev	1	1	en-ud-dev.conllu 1598	11	look	true	true	true	4
train	7	1	en-ud-train.conllu 9697	4	leave	true	true	true	4
train	14	1	en-ud-train.conllu 9697	4	leave	true	true	true	4
train	8	1	en-ud-train.conllu 159	19	create	true	true	false	4
train	1	1	en-ud-train.conllu 159	19	create	true	true	false	4
train	14	1	en-ud-train.conllu 9723	2	have	true	true	true	4
train	1	1	en-ud-train.conllu 9723	2	have	true	true	true	4
train	16	1	en-ud-train.conllu 165	29	hoist	true	true	true	4
train	14	1	en-ud-train.conllu 165	29	hoist	true	true	true	4
train	14	1	en-ud-train.conllu 9737	17	chew	false	true	na	na
train	6	1	en-ud-train.conllu 9737	17	chew	true	true	true	4
train	6	1	en-ud-train.conllu 179	4	wait	false	true	na	na
train	8	1	en-ud-train.conllu 179	4	wait	true	true	false	3
train	22	1	en-ud-train.conllu 5010	27	have	true	true	true	4
train	10	1	en-ud-train.conllu 5010	27	have	true	true	true	4
train	1	1	en-ud-train.conllu 188	6	know	true	true	true	4
train	7	1	en-ud-train.conllu 188	6	know	true	true	false	4
train	16	1	en-ud-train.conllu 5103	10	serve	true	true	false	4
train	10	1	en-ud-train.conllu 5103	10	serve	true	true	true	4
train	8	1	en-ud-train.conllu 9771	5	go	true	true	false	4
train	10	1	en-ud-train.conllu 9771	5	go	true	true	true	4
dev	14	1	en-ud-dev.conllu 1706	5	call	true	true	true	4
dev	10	1	en-ud-dev.conllu 1706	5	call	true	true	true	4
train	1	1	en-ud-train.conllu 5105	35	buy	false	true	na	na
train	16	1	en-ud-train.conllu 5105	35	buy	true	true	true	3
dev	16	1	en-ud-dev.conllu 1778	2	love	true	true	true	4
dev	1	1	en-ud-dev.conllu 1778	2	love	true	true	true	4
train	16	1	en-ud-train.conllu 9790	10	notice	true	true	true	4
train	18	1	en-ud-train.conllu 9790	10	notice	true	true	true	3
dev	16	1	en-ud-dev.conllu 1791	2	find	true	true	true	4
dev	1	1	en-ud-dev.conllu 1791	2	find	true	true	true	4
train	1	1	en-ud-train.conllu 202	15	believe	true	true	true	4
train	14	1	en-ud-train.conllu 202	15	believe	true	true	true	4
train	14	1	en-ud-train.conllu 5107	12	file	true	true	true	4
train	18	1	en-ud-train.conllu 5107	12	file	true	true	true	4
train	14	1	en-ud-train.conllu 9801	15	prevent	true	true	true	4
train	1	1	en-ud-train.conllu 9801	15	prevent	true	true	false	3
dev	7	1	en-ud-dev.conllu 1823	12	think	true	true	true	4
dev	14	1	en-ud-dev.conllu 1823	12	think	true	true	true	4
train	16	1	en-ud-train.conllu 223	7	have	true	true	true	4
train	1	1	en-ud-train.conllu 223	7	have	true	true	true	4
train	8	1	en-ud-train.conllu 9822	2	do	true	true	true	4
train	1	1	en-ud-train.conllu 9822	2	do	true	true	true	4
train	16	1	en-ud-train.conllu 5111	15	mount	true	true	true	3
train	1	1	en-ud-train.conllu 5111	15	mount	true	true	true	3
train	6	1	en-ud-train.conllu 249	14	encourage	true	true	false	4
train	1	1	en-ud-train.conllu 249	14	encourage	true	true	false	2
dev	7	1	en-ud-dev.conllu 1898	3	have	true	true	true	4
dev	16	1	en-ud-dev.conllu 1898	3	have	true	true	true	4
train	8	1	en-ud-train.conllu 5120	7	grin	true	true	true	4
train	1	1	en-ud-train.conllu 5120	7	grin	true	true	true	4
train	18	1	en-ud-train.conllu 261	19	tell	true	true	true	4
train	1	1	en-ud-train.conllu 261	19	tell	true	true	true	4
dev	14	1	en-ud-dev.conllu 1923	28	eat	true	true	true	4
dev	1	1	en-ud-dev.conllu 1923	28	eat	true	true	true	2
train	14	1	en-ud-train.conllu 265	50	keep	true	true	true	4
train	7	1	en-ud-train.conllu 265	50	keep	true	true	false	2
train	8	1	en-ud-train.conllu 5124	4	remove	true	true	false	4
train	1	1	en-ud-train.conllu 5124	4	remove	true	true	true	4
dev	14	1	en-ud-dev.conllu 1940	3	take	true	true	true	4
dev	1	1	en-ud-dev.conllu 1940	3	take	true	true	true	4
dev	18	1	en-ud-dev.conllu 1971	2	recommend	true	true	true	4
dev	14	1	en-ud-dev.conllu 1971	2	recommend	true	true	true	4
train	16	1	en-ud-train.conllu 270	5	chair	true	true	true	4
train	1	1	en-ud-train.conllu 270	5	chair	true	true	true	4
train	8	1	en-ud-train.conllu 9842	4	take	true	true	true	4
train	1	1	en-ud-train.conllu 9842	4	take	true	true	true	4
train	6	1	en-ud-train.conllu 5126	24	violate	true	true	false	4
train	1	1	en-ud-train.conllu 5126	24	violate	true	true	false	4
dev	18	1	en-ud-dev.conllu 1994	24	go	true	true	true	4
dev	16	1	en-ud-dev.conllu 1994	24	go	true	true	true	4
train	14	1	en-ud-train.conllu 9857	14	go	true	true	true	4
train	1	1	en-ud-train.conllu 9857	14	go	true	true	true	4
test	20	1	en-ud-test.conllu 5	4	argue	true	true	true	3
test	1	1	en-ud-test.conllu 5	4	argue	true	true	true	4
train	1	1	en-ud-train.conllu 5132	29	avert	true	true	true	4
train	20	1	en-ud-train.conllu 5132	29	avert	true	true	true	3
train	16	1	en-ud-train.conllu 9879	15	do	true	true	true	4
train	22	1	en-ud-train.conllu 9879	15	do	true	true	true	4
train	16	1	en-ud-train.conllu 271	40	tell	true	true	true	4
train	8	1	en-ud-train.conllu 271	40	tell	true	true	true	4
train	1	1	en-ud-train.conllu 5141	38	say	true	true	true	4
train	16	1	en-ud-train.conllu 5141	38	say	true	true	true	4
train	16	1	en-ud-train.conllu 9909	2	go	true	true	true	4
train	0	1	en-ud-train.conllu 9909	2	go	false	true	na	na
test	14	1	en-ud-test.conllu 15	5	show	true	true	true	4
test	1	1	en-ud-test.conllu 15	5	show	true	true	true	4
train	6	1	en-ud-train.conllu 5146	2	say	true	true	true	4
train	14	1	en-ud-train.conllu 5146	2	say	true	true	true	4
train	7	1	en-ud-train.conllu 277	21	fail	true	true	true	4
train	14	1	en-ud-train.conllu 277	21	fail	true	true	true	4
train	16	1	en-ud-train.conllu 9941	2	enjoy	true	true	true	4
train	7	1	en-ud-train.conllu 9941	2	enjoy	true	true	true	4
train	8	1	en-ud-train.conllu 9962	5	feel	true	true	true	4
train	18	1	en-ud-train.conllu 9962	5	feel	true	true	false	3
train	21	1	en-ud-train.conllu 285	45	separate	true	true	true	4
train	1	1	en-ud-train.conllu 285	45	separate	true	true	true	4
train	16	1	en-ud-train.conllu 5150	8	address	true	true	true	4
train	1	1	en-ud-train.conllu 5150	8	address	true	true	true	4
test	14	1	en-ud-test.conllu 29	16	start	true	true	false	4
train	7	1	en-ud-train.conllu 5155	9	say	true	true	true	4
train	22	1	en-ud-train.conllu 5155	9	say	true	true	true	4
train	8	1	en-ud-train.conllu 10010	7	watch	true	true	true	4
train	1	1	en-ud-train.conllu 10010	7	watch	true	true	true	4
test	16	1	en-ud-test.conllu 42	30	announce	true	true	true	4
test	17	1	en-ud-test.conllu 42	30	announce	true	true	true	3
train	18	1	en-ud-train.conllu 303	46	prize	true	true	false	4
train	14	1	en-ud-train.conllu 303	46	prize	true	true	false	3
train	16	1	en-ud-train.conllu 10025	8	use	true	true	true	4
train	8	1	en-ud-train.conllu 10025	8	use	true	true	true	4
train	14	1	en-ud-train.conllu 329	3	know	true	true	true	4
train	16	1	en-ud-train.conllu 329	3	know	true	true	true	4
train	14	1	en-ud-train.conllu 10047	2	want	true	false	na	na
train	1	1	en-ud-train.conllu 10047	2	want	true	true	true	3
test	8	1	en-ud-test.conllu 50	12	divide	true	true	true	4
test	1	1	en-ud-test.conllu 50	12	divide	true	true	true	4
train	14	1	en-ud-train.conllu 5158	17	lead	true	true	false	3
train	20	1	en-ud-train.conllu 5158	17	lead	true	true	false	3
test	7	1	en-ud-test.conllu 55	4	dissent	false	true	na	na
test	14	1	en-ud-test.conllu 55	4	dissent	false	true	na	na
train	16	1	en-ud-train.conllu 363	8	rack	true	true	true	4
train	10	1	en-ud-train.conllu 363	8	rack	true	true	true	4
train	7	1	en-ud-train.conllu 5161	14	do	true	true	false	4
train	14	1	en-ud-train.conllu 5161	14	do	true	true	true	4
test	8	1	en-ud-test.conllu 61	4	go	true	true	true	4
test	1	1	en-ud-test.conllu 61	4	go	true	true	false	2
train	1	1	en-ud-train.conllu 368	7	earn	true	true	true	4
train	16	1	en-ud-train.conllu 368	7	earn	true	true	true	4
train	7	1	en-ud-train.conllu 10095	22	place	true	true	true	4
train	21	1	en-ud-train.conllu 10095	22	place	true	true	true	3
train	9	1	en-ud-train.conllu 5165	16	find	true	true	true	4
train	14	1	en-ud-train.conllu 5165	16	find	true	true	true	4
test	1	1	en-ud-test.conllu 84	28	accept	true	true	true	4
test	10	1	en-ud-test.conllu 84	28	accept	true	true	true	4
train	22	1	en-ud-train.conllu 10113	2	end	true	true	true	4
train	10	1	en-ud-train.conllu 10113	2	end	true	true	true	4
train	16	1	en-ud-train.conllu 374	36	go	true	true	true	3
train	20	1	en-ud-train.conllu 374	36	go	false	true	na	na
test	8	1	en-ud-test.conllu 105	23	beware	true	true	false	4
test	7	1	en-ud-test.conllu 105	23	beware	true	true	true	4
train	18	1	en-ud-train.conllu 5222	14	pend	true	true	false	4
train	1	1	en-ud-train.conllu 5222	14	pend	true	true	true	4
train	22	1	en-ud-train.conllu 383	9	earn	true	true	true	4
train	14	1	en-ud-train.conllu 383	9	earn	true	true	true	4
train	8	1	en-ud-train.conllu 10152	4	help	true	true	true	4
train	14	1	en-ud-train.conllu 10152	4	help	true	true	true	4
train	8	1	en-ud-train.conllu 5306	9	intend	true	true	true	4
train	1	1	en-ud-train.conllu 5306	9	intend	true	true	true	4
test	8	1	en-ud-test.conllu 108	64	view	true	true	false	4
test	1	1	en-ud-test.conllu 108	64	view	true	true	false	2
train	1	1	en-ud-train.conllu 391	25	increase	true	true	false	1
train	10	1	en-ud-train.conllu 391	25	increase	true	true	true	4
train	8	1	en-ud-train.conllu 10163	2	love	true	true	true	4
train	22	1	en-ud-train.conllu 10163	2	love	true	true	true	4
test	7	1	en-ud-test.conllu 157	14	allow	true	true	false	2
test	5	1	en-ud-test.conllu 157	14	allow	true	true	true	3
train	7	1	en-ud-train.conllu 5404	6	flow	true	true	false	2
train	5	1	en-ud-train.conllu 5404	6	flow	true	true	true	3
train	14	1	en-ud-train.conllu 408	14	loom	true	true	false	4
train	5	1	en-ud-train.conllu 408	14	loom	true	true	false	2
train	16	1	en-ud-train.conllu 5463	5	include	true	true	true	4
train	1	1	en-ud-train.conllu 5463	5	include	true	true	true	4
train	16	1	en-ud-train.conllu 10198	2	sit	true	true	true	4
train	1	1	en-ud-train.conllu 10198	2	sit	true	true	true	4
train	8	1	en-ud-train.conllu 417	29	abuse	true	true	true	4
train	1	1	en-ud-train.conllu 417	29	abuse	true	true	true	4
train	7	1	en-ud-train.conllu 10242	6	complete	true	true	true	4
train	1	1	en-ud-train.conllu 10242	6	complete	true	true	true	4
train	7	1	en-ud-train.conllu 5534	5	represent	true	true	true	4
train	21	1	en-ud-train.conllu 5534	5	represent	true	true	true	4
test	8	1	en-ud-test.conllu 188	2	lie	true	true	true	4
test	16	1	en-ud-test.conllu 188	2	lie	true	true	true	4
train	22	1	en-ud-train.conllu 10280	2	set	true	true	false	2
train	1	1	en-ud-train.conllu 10280	2	set	true	true	true	4
train	6	1	en-ud-train.conllu 434	14	use	true	true	true	4
train	1	1	en-ud-train.conllu 434	14	use	true	true	true	4
test	6	1	en-ud-test.conllu 203	14	go	true	true	false	4
test	14	1	en-ud-test.conllu 203	14	go	true	true	false	2
train	6	1	en-ud-train.conllu 10302	2	visit	true	true	true	4
train	1	1	en-ud-train.conllu 10302	2	visit	true	true	true	4
train	7	1	en-ud-train.conllu 444	17	neighbour	true	true	true	4
train	16	1	en-ud-train.conllu 444	17	neighbour	true	true	true	4
train	1	1	en-ud-train.conllu 5539	35	canoe	true	true	true	3
train	20	1	en-ud-train.conllu 5539	35	canoe	true	true	true	2
train	22	1	en-ud-train.conllu 5547	10	unzip	true	true	true	4
train	14	1	en-ud-train.conllu 5547	10	unzip	true	true	true	4
train	14	1	en-ud-train.conllu 10325	5	eat	true	true	true	4
train	18	1	en-ud-train.conllu 10325	5	eat	true	true	true	4
train	21	1	en-ud-train.conllu 478	2	happen	true	true	true	3
train	14	1	en-ud-train.conllu 478	2	happen	true	true	true	4
test	7	1	en-ud-test.conllu 228	2	use	false	true	na	na
test	16	1	en-ud-test.conllu 228	2	use	true	true	true	4
train	16	1	en-ud-train.conllu 5559	8	airlift	true	true	true	4
train	14	1	en-ud-train.conllu 5559	8	airlift	true	true	true	4
train	7	1	en-ud-train.conllu 485	2	expect	true	true	true	4
train	18	1	en-ud-train.conllu 485	2	expect	true	true	true	2
train	16	1	en-ud-train.conllu 495	18	recruit	true	true	true	4
train	1	1	en-ud-train.conllu 495	18	recruit	true	true	true	4
test	14	1	en-ud-test.conllu 269	7	go	true	false	na	na
test	21	1	en-ud-test.conllu 269	7	go	true	true	false	4
train	20	1	en-ud-train.conllu 10344	2	suck	true	true	true	2
train	1	1	en-ud-train.conllu 10344	2	suck	true	true	true	4
train	7	1	en-ud-train.conllu 507	7	sign	true	true	true	4
train	1	1	en-ud-train.conllu 507	7	sign	true	true	true	4
train	8	1	en-ud-train.conllu 5576	4	derive	true	true	true	4
train	1	1	en-ud-train.conllu 5576	4	derive	true	true	true	4
test	1	1	en-ud-test.conllu 321	10	make	true	true	true	4
test	10	1	en-ud-test.conllu 321	10	make	true	true	true	4
train	1	1	en-ud-train.conllu 517	6	make	true	true	true	4
train	7	1	en-ud-train.conllu 517	6	make	true	true	true	4
train	6	1	en-ud-train.conllu 5589	29	settle	true	true	true	4
train	1	1	en-ud-train.conllu 5589	29	settle	true	true	true	4
test	7	1	en-ud-test.conllu 355	9	consider	true	true	false	4
test	8	1	en-ud-test.conllu 355	9	consider	true	true	false	3
train	14	1	en-ud-train.conllu 519	31	occur	true	true	true	4
train	1	1	en-ud-train.conllu 519	31	occur	true	true	true	4
test	16	1	en-ud-test.conllu 409	5	have	true	true	true	4
test	8	1	en-ud-test.conllu 409	5	have	true	true	true	4
train	6	1	en-ud-train.conllu 5610	9	recruit	true	true	true	4
train	22	1	en-ud-train.conllu 5610	9	recruit	true	true	true	4
train	8	1	en-ud-train.conllu 5620	24	go	true	true	false	4
train	9	1	en-ud-train.conllu 5620	24	go	true	true	false	2
train	7	1	en-ud-train.conllu 10355	8	close	true	true	false	2
train	14	1	en-ud-train.conllu 10355	8	close	true	true	true	4
train	7	1	en-ud-train.conllu 552	19	have	true	true	true	4
train	8	1	en-ud-train.conllu 552	19	have	true	true	false	4
test	9	1	en-ud-test.conllu 447	2	show	true	true	true	4
test	8	1	en-ud-test.conllu 447	2	show	true	true	true	4
train	6	1	en-ud-train.conllu 566	20	surround	true	true	true	4
train	8	1	en-ud-train.conllu 566	20	surround	true	true	true	4
train	7	1	en-ud-train.conllu 5636	14	work	true	true	false	4
train	14	1	en-ud-train.conllu 5636	14	work	true	true	true	4
train	14	1	en-ud-train.conllu 10373	5	vomit	true	true	true	4
train	12	1	en-ud-train.conllu 10373	5	vomit	true	true	true	4
test	6	1	en-ud-test.conllu 498	3	seem	true	true	true	4
test	1	1	en-ud-test.conllu 498	3	seem	true	true	true	4
train	7	1	en-ud-train.conllu 10404	14	get	true	true	false	4
train	14	1	en-ud-train.conllu 10404	14	get	true	true	true	4
train	12	1	en-ud-train.conllu 5656	2	play	true	false	na	na
train	18	1	en-ud-train.conllu 5656	2	play	true	true	false	2
test	16	1	en-ud-test.conllu 556	9	confirm	true	true	true	4
test	5	1	en-ud-test.conllu 556	9	confirm	true	true	true	3
train	14	1	en-ud-train.conllu 5708	3	pray	true	true	true	4
train	7	1	en-ud-train.conllu 10431	19	recieve	true	true	false	4
train	16	1	en-ud-train.conllu 10431	19	recieve	true	true	false	4
train	7	1	en-ud-train.conllu 576	23	overrun	true	true	true	3
train	18	1	en-ud-train.conllu 576	23	overrun	true	true	true	4
test	14	1	en-ud-test.conllu 566	2	try	true	true	true	4
test	7	1	en-ud-test.conllu 566	2	try	true	true	true	4
train	1	1	en-ud-train.conllu 584	25	bring	true	true	true	4
train	21	1	en-ud-train.conllu 584	25	bring	true	true	true	4
train	7	1	en-ud-train.conllu 5727	37	require	true	true	true	4
train	21	1	en-ud-train.conllu 5727	37	require	true	true	true	3
train	14	1	en-ud-train.conllu 10456	2	use	true	true	true	4
train	18	1	en-ud-train.conllu 10456	2	use	true	true	true	4
test	7	1	en-ud-test.conllu 570	17	think	true	true	true	3
test	14	1	en-ud-test.conllu 570	17	think	true	true	true	4
train	8	1	en-ud-train.conllu 596	6	destroy	true	true	true	4
train	1	1	en-ud-train.conllu 596	6	destroy	false	true	na	na
train	6	1	en-ud-train.conllu 10491	2	interview	true	true	true	4
train	1	1	en-ud-train.conllu 10491	2	interview	true	true	true	4
test	22	1	en-ud-test.conllu 583	2	offer	true	true	true	2
test	6	1	en-ud-test.conllu 583	2	offer	true	true	true	4
train	1	1	en-ud-train.conllu 603	7	report	true	true	true	4
train	18	1	en-ud-train.conllu 603	7	report	true	true	true	4
test	7	1	en-ud-test.conllu 631	21	grant	true	true	true	4
test	21	1	en-ud-test.conllu 631	21	grant	true	true	true	4
train	7	1	en-ud-train.conllu 623	5	divide	true	true	true	4
train	1	1	en-ud-train.conllu 623	5	divide	true	true	true	4
train	7	1	en-ud-train.conllu 10516	4	figure	true	true	true	4
train	1	1	en-ud-train.conllu 10516	4	figure	true	true	true	4
test	14	1	en-ud-test.conllu 653	15	impose	true	true	false	4
test	14	1	en-ud-test.conllu 731	10	remain	true	true	false	3
test	1	1	en-ud-test.conllu 731	10	remain	true	true	false	4
train	1	1	en-ud-train.conllu 10522	28	give	true	true	false	3
train	16	1	en-ud-train.conllu 10522	28	give	true	true	true	3
test	14	1	en-ud-test.conllu 789	8	reflect	true	true	true	4
test	1	1	en-ud-test.conllu 789	8	reflect	true	true	true	3
train	7	1	en-ud-train.conllu 10565	4	decorate	true	true	true	4
train	1	1	en-ud-train.conllu 10565	4	decorate	true	true	true	4
train	16	1	en-ud-train.conllu 10594	2	order	true	true	true	4
train	14	1	en-ud-train.conllu 10594	2	order	true	true	true	4
test	1	1	en-ud-test.conllu 863	23	announce	true	true	true	4
test	15	1	en-ud-test.conllu 863	23	announce	true	true	true	4
train	7	1	en-ud-train.conllu 5730	47	neighbor	true	true	true	4
train	1	1	en-ud-train.conllu 5730	47	neighbor	true	true	true	4
train	21	1	en-ud-train.conllu 5743	10	make	true	true	false	3
train	1	1	en-ud-train.conllu 5743	10	make	true	true	false	4
train	6	1	en-ud-train.conllu 10607	13	amaze	true	true	true	4
train	10	1	en-ud-train.conllu 10607	13	amaze	true	true	true	4
