,Split,Annotator.ID,Display.Position,Sentence.ID,Pred.Token,Pred.Lemma,Is.Predicate,Is.Understandable,Happened,Confidence,keep
80,dev,8,1,en-ud-dev.conllu 1223,2,like,True,True,true,4,True
81,dev,16,1,en-ud-dev.conllu 1223,2,like,True,True,true,4,True
82,train,20,1,en-ud-train.conllu 4648,2,join,True,True,true,3,True
83,train,19,1,en-ud-train.conllu 4648,2,join,True,True,true,4,True
84,train,10,1,en-ud-train.conllu 9491,4,do,True,True,true,3,True
85,train,1,1,en-ud-train.conllu 9491,4,do,True,True,false,2,True
86,dev,7,1,en-ud-dev.conllu 1277,8,spend,True,True,false,4,True
87,dev,1,1,en-ud-dev.conllu 1277,8,spend,True,True,false,3,True
88,train,1,1,en-ud-train.conllu 9509,10,advise,True,True,false,3,True
89,train,10,1,en-ud-train.conllu 9509,10,advise,True,True,true,4,True
90,train,7,1,en-ud-train.conllu 4701,3,estimate,True,True,true,4,True
91,train,1,1,en-ud-train.conllu 4701,3,estimate,True,True,true,4,True
92,dev,16,1,en-ud-dev.conllu 1304,2,se,True,True,true,4,True
93,dev,1,1,en-ud-dev.conllu 1304,2,se,False,False,na,na,True
94,train,7,1,en-ud-train.conllu 4755,2,decide,True,True,true,4,True
95,train,1,1,en-ud-train.conllu 4755,2,decide,True,True,true,4,True
96,train,18,1,en-ud-train.conllu 9535,27,put,True,True,false,3,True
97,train,1,1,en-ud-train.conllu 9535,27,put,True,True,false,2,True
98,dev,16,1,en-ud-dev.conllu 1354,2,want,True,True,true,4,True
99,dev,18,1,en-ud-dev.conllu 1354,2,want,True,True,true,4,True
100,train,7,1,en-ud-train.conllu 9580,2,look,True,True,false,1,True
101,train,1,1,en-ud-train.conllu 9580,2,look,True,True,true,4,True
102,dev,1,1,en-ud-dev.conllu 1355,20,pay,True,True,false,4,True
103,dev,23,1,en-ud-dev.conllu 1355,20,pay,True,True,false,3,True
104,train,7,1,en-ud-train.conllu 4764,2,tell,True,True,true,4,True
105,train,18,1,en-ud-train.conllu 4764,2,tell,True,True,true,4,True
106,train,7,1,en-ud-train.conllu 9598,3,offer,True,True,true,4,True
107,train,14,1,en-ud-train.conllu 9598,3,offer,True,True,true,3,True
108,train,6,1,en-ud-train.conllu 118,16,treat,True,True,true,4,True
109,train,1,1,en-ud-train.conllu 118,16,treat,True,True,true,4,True
110,train,16,1,en-ud-train.conllu 4798,3,show,True,True,true,4,True
111,train,20,1,en-ud-train.conllu 4798,3,show,True,True,true,3,True
112,dev,8,1,en-ud-dev.conllu 1379,17,attack,True,True,true,4,True
113,dev,14,1,en-ud-dev.conllu 1379,17,attack,True,True,true,4,True
114,train,6,1,en-ud-train.conllu 4872,2,need,True,True,true,4,True
115,train,14,1,en-ud-train.conllu 4872,2,need,True,True,true,4,True
116,train,8,1,en-ud-train.conllu 9621,15,see,True,True,true,2,True
117,train,1,1,en-ud-train.conllu 9621,15,see,True,True,false,3,True
118,train,7,1,en-ud-train.conllu 125,19,see,True,True,true,4,True
119,train,1,1,en-ud-train.conllu 125,19,see,True,True,true,1,True
120,dev,12,1,en-ud-dev.conllu 1417,2,have,False,True,na,na,True
121,dev,4,1,en-ud-dev.conllu 1417,2,have,False,True,na,na,True
122,train,1,1,en-ud-train.conllu 9633,7,do,True,True,true,4,True
123,train,10,1,en-ud-train.conllu 9633,7,do,True,True,true,4,True
124,train,16,1,en-ud-train.conllu 4942,6,have,True,True,false,4,True
125,train,7,1,en-ud-train.conllu 4942,6,have,True,True,false,4,True
126,dev,8,1,en-ud-dev.conllu 1434,9,get,True,True,false,3,True
127,dev,21,1,en-ud-dev.conllu 1434,9,get,True,True,false,2,True
128,train,16,1,en-ud-train.conllu 145,6,use,True,True,true,2,True
129,train,1,1,en-ud-train.conllu 145,6,use,True,True,true,4,True
130,train,1,1,en-ud-train.conllu 9660,7,call,True,True,false,3,True
131,train,16,1,en-ud-train.conllu 9660,7,call,True,True,false,4,True
132,train,18,1,en-ud-train.conllu 4993,17,have,True,True,true,2,True
133,train,21,1,en-ud-train.conllu 4993,17,have,True,True,true,3,True
134,dev,14,1,en-ud-dev.conllu 1598,11,look,True,True,true,4,True
135,dev,1,1,en-ud-dev.conllu 1598,11,look,True,True,true,4,True
136,train,7,1,en-ud-train.conllu 9697,4,leave,True,True,true,4,True
137,train,14,1,en-ud-train.conllu 9697,4,leave,True,True,true,4,True
138,train,8,1,en-ud-train.conllu 159,19,create,True,True,false,4,True
139,train,1,1,en-ud-train.conllu 159,19,create,True,True,false,4,True
140,train,14,1,en-ud-train.conllu 9723,2,have,True,True,true,4,True
141,train,1,1,en-ud-train.conllu 9723,2,have,True,True,true,4,True
142,train,16,1,en-ud-train.conllu 165,29,hoist,True,True,true,4,True
143,train,14,1,en-ud-train.conllu 165,29,hoist,True,True,true,4,True
144,train,14,1,en-ud-train.conllu 9737,17,chew,False,True,na,na,True
145,train,6,1,en-ud-train.conllu 9737,17,chew,True,True,true,4,True
146,train,6,1,en-ud-train.conllu 179,4,wait,False,True,na,na,True
147,train,8,1,en-ud-train.conllu 179,4,wait,True,True,false,3,True
148,train,22,1,en-ud-train.conllu 5010,27,have,True,True,true,4,True
149,train,10,1,en-ud-train.conllu 5010,27,have,True,True,true,4,True
150,train,1,1,en-ud-train.conllu 188,6,know,True,True,true,4,True
151,train,7,1,en-ud-train.conllu 188,6,know,True,True,false,4,True
152,train,16,1,en-ud-train.conllu 5103,10,serve,True,True,false,4,True
153,train,10,1,en-ud-train.conllu 5103,10,serve,True,True,true,4,True
154,train,8,1,en-ud-train.conllu 9771,5,go,True,True,false,4,True
155,train,10,1,en-ud-train.conllu 9771,5,go,True,True,true,4,True
156,dev,14,1,en-ud-dev.conllu 1706,5,call,True,True,true,4,True
157,dev,10,1,en-ud-dev.conllu 1706,5,call,True,True,true,4,True
158,train,1,1,en-ud-train.conllu 5105,35,buy,False,True,na,na,True
159,train,16,1,en-ud-train.conllu 5105,35,buy,True,True,true,3,True
160,dev,16,1,en-ud-dev.conllu 1778,2,love,True,True,true,4,True
161,dev,1,1,en-ud-dev.conllu 1778,2,love,True,True,true,4,True
162,train,16,1,en-ud-train.conllu 9790,10,notice,True,True,true,4,True
163,train,18,1,en-ud-train.conllu 9790,10,notice,True,True,true,3,True
164,dev,16,1,en-ud-dev.conllu 1791,2,find,True,True,true,4,True
165,dev,1,1,en-ud-dev.conllu 1791,2,find,True,True,true,4,True
166,train,1,1,en-ud-train.conllu 202,15,believe,True,True,true,4,True
167,train,14,1,en-ud-train.conllu 202,15,believe,True,True,true,4,True
168,train,14,1,en-ud-train.conllu 5107,12,file,True,True,true,4,True
169,train,18,1,en-ud-train.conllu 5107,12,file,True,True,true,4,True
170,train,14,1,en-ud-train.conllu 9801,15,prevent,True,True,true,4,True
171,train,1,1,en-ud-train.conllu 9801,15,prevent,True,True,false,3,True
172,dev,7,1,en-ud-dev.conllu 1823,12,think,True,True,true,4,True
173,dev,14,1,en-ud-dev.conllu 1823,12,think,True,True,true,4,True
174,train,16,1,en-ud-train.conllu 223,7,have,True,True,true,4,True
175,train,1,1,en-ud-train.conllu 223,7,have,True,True,true,4,True
176,train,8,1,en-ud-train.conllu 9822,2,do,True,True,true,4,True
177,train,1,1,en-ud-train.conllu 9822,2,do,True,True,true,4,True
178,train,16,1,en-ud-train.conllu 5111,15,mount,True,True,true,3,True
179,train,1,1,en-ud-train.conllu 5111,15,mount,True,True,true,3,True
180,train,6,1,en-ud-train.conllu 249,14,encourage,True,True,false,4,True
181,train,1,1,en-ud-train.conllu 249,14,encourage,True,True,false,2,True
182,dev,7,1,en-ud-dev.conllu 1898,3,have,True,True,true,4,True
183,dev,16,1,en-ud-dev.conllu 1898,3,have,True,True,true,4,True
184,train,8,1,en-ud-train.conllu 5120,7,grin,True,True,true,4,True
185,train,1,1,en-ud-train.conllu 5120,7,grin,True,True,true,4,True
186,train,18,1,en-ud-train.conllu 261,19,tell,True,True,true,4,True
187,train,1,1,en-ud-train.conllu 261,19,tell,True,True,true,4,True
188,dev,14,1,en-ud-dev.conllu 1923,28,eat,True,True,true,4,True
189,dev,1,1,en-ud-dev.conllu 1923,28,eat,True,True,true,2,True
190,train,14,1,en-ud-train.conllu 265,50,keep,True,True,true,4,True
191,train,7,1,en-ud-train.conllu 265,50,keep,True,True,false,2,True
192,train,8,1,en-ud-train.conllu 5124,4,remove,True,True,false,4,True
193,train,1,1,en-ud-train.conllu 5124,4,remove,True,True,true,4,True
194,dev,14,1,en-ud-dev.conllu 1940,3,take,True,True,true,4,True
195,dev,1,1,en-ud-dev.conllu 1940,3,take,True,True,true,4,True
196,dev,18,1,en-ud-dev.conllu 1971,2,recommend,True,True,true,4,True
197,dev,14,1,en-ud-dev.conllu 1971,2,recommend,True,True,true,4,True
198,train,16,1,en-ud-train.conllu 270,5,chair,True,True,true,4,True
199,train,1,1,en-ud-train.conllu 270,5,chair,True,True,true,4,True
200,train,8,1,en-ud-train.conllu 9842,4,take,True,True,true,4,True
201,train,1,1,en-ud-train.conllu 9842,4,take,True,True,true,4,True
202,train,6,1,en-ud-train.conllu 5126,24,violate,True,True,false,4,True
203,train,1,1,en-ud-train.conllu 5126,24,violate,True,True,false,4,True
204,dev,18,1,en-ud-dev.conllu 1994,24,go,True,True,true,4,True
205,dev,16,1,en-ud-dev.conllu 1994,24,go,True,True,true,4,True
206,train,14,1,en-ud-train.conllu 9857,14,go,True,True,true,4,True
207,train,1,1,en-ud-train.conllu 9857,14,go,True,True,true,4,True
208,test,20,1,en-ud-test.conllu 5,4,argue,True,True,true,3,True
209,test,1,1,en-ud-test.conllu 5,4,argue,True,True,true,4,True
210,train,1,1,en-ud-train.conllu 5132,29,avert,True,True,true,4,True
211,train,20,1,en-ud-train.conllu 5132,29,avert,True,True,true,3,True
212,train,16,1,en-ud-train.conllu 9879,15,do,True,True,true,4,True
213,train,22,1,en-ud-train.conllu 9879,15,do,True,True,true,4,True
214,train,16,1,en-ud-train.conllu 271,40,tell,True,True,true,4,True
215,train,8,1,en-ud-train.conllu 271,40,tell,True,True,true,4,True
216,train,1,1,en-ud-train.conllu 5141,38,say,True,True,true,4,True
217,train,16,1,en-ud-train.conllu 5141,38,say,True,True,true,4,True
218,train,16,1,en-ud-train.conllu 9909,2,go,True,True,true,4,True
219,train,0,1,en-ud-train.conllu 9909,2,go,False,True,na,na,True
220,test,14,1,en-ud-test.conllu 15,5,show,True,True,true,4,True
221,test,1,1,en-ud-test.conllu 15,5,show,True,True,true,4,True
222,train,6,1,en-ud-train.conllu 5146,2,say,True,True,true,4,True
223,train,14,1,en-ud-train.conllu 5146,2,say,True,True,true,4,True
224,train,7,1,en-ud-train.conllu 277,21,fail,True,True,true,4,True
225,train,14,1,en-ud-train.conllu 277,21,fail,True,True,true,4,True
226,train,16,1,en-ud-train.conllu 9941,2,enjoy,True,True,true,4,True
227,train,7,1,en-ud-train.conllu 9941,2,enjoy,True,True,true,4,True
228,train,8,1,en-ud-train.conllu 9962,5,feel,True,True,true,4,True
229,train,18,1,en-ud-train.conllu 9962,5,feel,True,True,false,3,True
230,train,21,1,en-ud-train.conllu 285,45,separate,True,True,true,4,True
231,train,1,1,en-ud-train.conllu 285,45,separate,True,True,true,4,True
232,train,16,1,en-ud-train.conllu 5150,8,address,True,True,true,4,True
233,train,1,1,en-ud-train.conllu 5150,8,address,True,True,true,4,True
234,test,14,1,en-ud-test.conllu 29,16,start,True,True,false,4,True
235,train,7,1,en-ud-train.conllu 5155,9,say,True,True,true,4,True
236,train,22,1,en-ud-train.conllu 5155,9,say,True,True,true,4,True
237,train,8,1,en-ud-train.conllu 10010,7,watch,True,True,true,4,True
238,train,1,1,en-ud-train.conllu 10010,7,watch,True,True,true,4,True
239,test,16,1,en-ud-test.conllu 42,30,announce,True,True,true,4,True
240,test,17,1,en-ud-test.conllu 42,30,announce,True,True,true,3,True
241,train,18,1,en-ud-train.conllu 303,46,prize,True,True,false,4,True
242,train,14,1,en-ud-train.conllu 303,46,prize,True,True,false,3,True
243,train,16,1,en-ud-train.conllu 10025,8,use,True,True,true,4,True
244,train,8,1,en-ud-train.conllu 10025,8,use,True,True,true,4,True
245,train,14,1,en-ud-train.conllu 329,3,know,True,True,true,4,True
246,train,16,1,en-ud-train.conllu 329,3,know,True,True,true,4,True
247,train,14,1,en-ud-train.conllu 10047,2,want,True,False,na,na,True
248,train,1,1,en-ud-train.conllu 10047,2,want,True,True,true,3,True
249,test,8,1,en-ud-test.conllu 50,12,divide,True,True,true,4,True
250,test,1,1,en-ud-test.conllu 50,12,divide,True,True,true,4,True
251,train,14,1,en-ud-train.conllu 5158,17,lead,True,True,false,3,True
252,train,20,1,en-ud-train.conllu 5158,17,lead,True,True,false,3,True
253,test,7,1,en-ud-test.conllu 55,4,dissent,False,True,na,na,True
254,test,14,1,en-ud-test.conllu 55,4,dissent,False,True,na,na,True
255,train,16,1,en-ud-train.conllu 363,8,rack,True,True,true,4,True
256,train,10,1,en-ud-train.conllu 363,8,rack,True,True,true,4,True
257,train,7,1,en-ud-train.conllu 5161,14,do,True,True,false,4,True
258,train,14,1,en-ud-train.conllu 5161,14,do,True,True,true,4,True
259,test,8,1,en-ud-test.conllu 61,4,go,True,True,true,4,True
260,test,1,1,en-ud-test.conllu 61,4,go,True,True,false,2,True
261,train,1,1,en-ud-train.conllu 368,7,earn,True,True,true,4,True
262,train,16,1,en-ud-train.conllu 368,7,earn,True,True,true,4,True
263,train,7,1,en-ud-train.conllu 10095,22,place,True,True,true,4,True
264,train,21,1,en-ud-train.conllu 10095,22,place,True,True,true,3,True
265,train,9,1,en-ud-train.conllu 5165,16,find,True,True,true,4,True
266,train,14,1,en-ud-train.conllu 5165,16,find,True,True,true,4,True
267,test,1,1,en-ud-test.conllu 84,28,accept,True,True,true,4,True
268,test,10,1,en-ud-test.conllu 84,28,accept,True,True,true,4,True
269,train,22,1,en-ud-train.conllu 10113,2,end,True,True,true,4,True
270,train,10,1,en-ud-train.conllu 10113,2,end,True,True,true,4,True
271,train,16,1,en-ud-train.conllu 374,36,go,True,True,true,3,True
272,train,20,1,en-ud-train.conllu 374,36,go,False,True,na,na,True
273,test,8,1,en-ud-test.conllu 105,23,beware,True,True,false,4,True
274,test,7,1,en-ud-test.conllu 105,23,beware,True,True,true,4,True
275,train,18,1,en-ud-train.conllu 5222,14,pend,True,True,false,4,True
276,train,1,1,en-ud-train.conllu 5222,14,pend,True,True,true,4,True
277,train,22,1,en-ud-train.conllu 383,9,earn,True,True,true,4,True
278,train,14,1,en-ud-train.conllu 383,9,earn,True,True,true,4,True
279,train,8,1,en-ud-train.conllu 10152,4,help,True,True,true,4,True
280,train,14,1,en-ud-train.conllu 10152,4,help,True,True,true,4,True
281,train,8,1,en-ud-train.conllu 5306,9,intend,True,True,true,4,True
282,train,1,1,en-ud-train.conllu 5306,9,intend,True,True,true,4,True
283,test,8,1,en-ud-test.conllu 108,64,view,True,True,false,4,True
284,test,1,1,en-ud-test.conllu 108,64,view,True,True,false,2,True
285,train,1,1,en-ud-train.conllu 391,25,increase,True,True,false,1,True
286,train,10,1,en-ud-train.conllu 391,25,increase,True,True,true,4,True
287,train,8,1,en-ud-train.conllu 10163,2,love,True,True,true,4,True
288,train,22,1,en-ud-train.conllu 10163,2,love,True,True,true,4,True
289,test,7,1,en-ud-test.conllu 157,14,allow,True,True,false,2,True
290,test,5,1,en-ud-test.conllu 157,14,allow,True,True,true,3,True
291,train,7,1,en-ud-train.conllu 5404,6,flow,True,True,false,2,True
292,train,5,1,en-ud-train.conllu 5404,6,flow,True,True,true,3,True
293,train,14,1,en-ud-train.conllu 408,14,loom,True,True,false,4,True
294,train,5,1,en-ud-train.conllu 408,14,loom,True,True,false,2,True
295,train,16,1,en-ud-train.conllu 5463,5,include,True,True,true,4,True
296,train,1,1,en-ud-train.conllu 5463,5,include,True,True,true,4,True
297,train,16,1,en-ud-train.conllu 10198,2,sit,True,True,true,4,True
298,train,1,1,en-ud-train.conllu 10198,2,sit,True,True,true,4,True
299,train,8,1,en-ud-train.conllu 417,29,abuse,True,True,true,4,True
300,train,1,1,en-ud-train.conllu 417,29,abuse,True,True,true,4,True
301,train,7,1,en-ud-train.conllu 10242,6,complete,True,True,true,4,True
302,train,1,1,en-ud-train.conllu 10242,6,complete,True,True,true,4,True
303,train,7,1,en-ud-train.conllu 5534,5,represent,True,True,true,4,True
304,train,21,1,en-ud-train.conllu 5534,5,represent,True,True,true,4,True
305,test,8,1,en-ud-test.conllu 188,2,lie,True,True,true,4,True
306,test,16,1,en-ud-test.conllu 188,2,lie,True,True,true,4,True
307,train,22,1,en-ud-train.conllu 10280,2,set,True,True,false,2,True
308,train,1,1,en-ud-train.conllu 10280,2,set,True,True,true,4,True
309,train,6,1,en-ud-train.conllu 434,14,use,True,True,true,4,True
310,train,1,1,en-ud-train.conllu 434,14,use,True,True,true,4,True
311,test,6,1,en-ud-test.conllu 203,14,go,True,True,false,4,True
312,test,14,1,en-ud-test.conllu 203,14,go,True,True,false,2,True
313,train,6,1,en-ud-train.conllu 10302,2,visit,True,True,true,4,True
314,train,1,1,en-ud-train.conllu 10302,2,visit,True,True,true,4,True
315,train,7,1,en-ud-train.conllu 444,17,neighbour,True,True,true,4,True
316,train,16,1,en-ud-train.conllu 444,17,neighbour,True,True,true,4,True
317,train,1,1,en-ud-train.conllu 5539,35,canoe,True,True,true,3,True
318,train,20,1,en-ud-train.conllu 5539,35,canoe,True,True,true,2,True
319,train,22,1,en-ud-train.conllu 5547,10,unzip,True,True,true,4,True
320,train,14,1,en-ud-train.conllu 5547,10,unzip,True,True,true,4,True
321,train,14,1,en-ud-train.conllu 10325,5,eat,True,True,true,4,True
322,train,18,1,en-ud-train.conllu 10325,5,eat,True,True,true,4,True
323,train,21,1,en-ud-train.conllu 478,2,happen,True,True,true,3,True
324,train,14,1,en-ud-train.conllu 478,2,happen,True,True,true,4,True
325,test,7,1,en-ud-test.conllu 228,2,use,False,True,na,na,True
326,test,16,1,en-ud-test.conllu 228,2,use,True,True,true,4,True
327,train,16,1,en-ud-train.conllu 5559,8,airlift,True,True,true,4,True
328,train,14,1,en-ud-train.conllu 5559,8,airlift,True,True,true,4,True
329,train,7,1,en-ud-train.conllu 485,2,expect,True,True,true,4,True
330,train,18,1,en-ud-train.conllu 485,2,expect,True,True,true,2,True
331,train,16,1,en-ud-train.conllu 495,18,recruit,True,True,true,4,True
332,train,1,1,en-ud-train.conllu 495,18,recruit,True,True,true,4,True
333,test,14,1,en-ud-test.conllu 269,7,go,True,False,na,na,True
334,test,21,1,en-ud-test.conllu 269,7,go,True,True,false,4,True
335,train,20,1,en-ud-train.conllu 10344,2,suck,True,True,true,2,True
336,train,1,1,en-ud-train.conllu 10344,2,suck,True,True,true,4,True
337,train,7,1,en-ud-train.conllu 507,7,sign,True,True,true,4,True
338,train,1,1,en-ud-train.conllu 507,7,sign,True,True,true,4,True
339,train,8,1,en-ud-train.conllu 5576,4,derive,True,True,true,4,True
340,train,1,1,en-ud-train.conllu 5576,4,derive,True,True,true,4,True
341,test,1,1,en-ud-test.conllu 321,10,make,True,True,true,4,True
342,test,10,1,en-ud-test.conllu 321,10,make,True,True,true,4,True
343,train,1,1,en-ud-train.conllu 517,6,make,True,True,true,4,True
344,train,7,1,en-ud-train.conllu 517,6,make,True,True,true,4,True
345,train,6,1,en-ud-train.conllu 5589,29,settle,True,True,true,4,True
346,train,1,1,en-ud-train.conllu 5589,29,settle,True,True,true,4,True
347,test,7,1,en-ud-test.conllu 355,9,consider,True,True,false,4,True
348,test,8,1,en-ud-test.conllu 355,9,consider,True,True,false,3,True
349,train,14,1,en-ud-train.conllu 519,31,occur,True,True,true,4,True
350,train,1,1,en-ud-train.conllu 519,31,occur,True,True,true,4,True
351,test,16,1,en-ud-test.conllu 409,5,have,True,True,true,4,True
352,test,8,1,en-ud-test.conllu 409,5,have,True,True,true,4,True
353,train,6,1,en-ud-train.conllu 5610,9,recruit,True,True,true,4,True
354,train,22,1,en-ud-train.conllu 5610,9,recruit,True,True,true,4,True
355,train,8,1,en-ud-train.conllu 5620,24,go,True,True,false,4,True
356,train,9,1,en-ud-train.conllu 5620,24,go,True,True,false,2,True
357,train,7,1,en-ud-train.conllu 10355,8,close,True,True,false,2,True
358,train,14,1,en-ud-train.conllu 10355,8,close,True,True,true,4,True
359,train,7,1,en-ud-train.conllu 552,19,have,True,True,true,4,True
360,train,8,1,en-ud-train.conllu 552,19,have,True,True,false,4,True
361,test,9,1,en-ud-test.conllu 447,2,show,True,True,true,4,True
362,test,8,1,en-ud-test.conllu 447,2,show,True,True,true,4,True
363,train,6,1,en-ud-train.conllu 566,20,surround,True,True,true,4,True
364,train,8,1,en-ud-train.conllu 566,20,surround,True,True,true,4,True
365,train,7,1,en-ud-train.conllu 5636,14,work,True,True,false,4,True
366,train,14,1,en-ud-train.conllu 5636,14,work,True,True,true,4,True
367,train,14,1,en-ud-train.conllu 10373,5,vomit,True,True,true,4,True
368,train,12,1,en-ud-train.conllu 10373,5,vomit,True,True,true,4,True
369,test,6,1,en-ud-test.conllu 498,3,seem,True,True,true,4,True
370,test,1,1,en-ud-test.conllu 498,3,seem,True,True,true,4,True
371,train,7,1,en-ud-train.conllu 10404,14,get,True,True,false,4,True
372,train,14,1,en-ud-train.conllu 10404,14,get,True,True,true,4,True
373,train,12,1,en-ud-train.conllu 5656,2,play,True,False,na,na,True
374,train,18,1,en-ud-train.conllu 5656,2,play,True,True,false,2,True
375,test,16,1,en-ud-test.conllu 556,9,confirm,True,True,true,4,True
376,test,5,1,en-ud-test.conllu 556,9,confirm,True,True,true,3,True
377,train,14,1,en-ud-train.conllu 5708,3,pray,True,True,true,4,True
