Split	Annotator.ID	Display.Position	Sentence.ID	Pred.Token	Pred.Lemma	Is.Predicate	Is.Understandable	Happened	Confidence	Keep
train	14	1	en-ud-train.conllu 9397	2	end	True	True	true	4	True
train	21	1	en-ud-train.conllu 4592	19	propose	True	True	false	3	True
train	1	1	en-ud-train.conllu 4592	19	propose	True	True	true	4	True
train	8	1	en-ud-train.conllu 9415	4	help	True	True	false	4	True
train	1	1	en-ud-train.conllu 9415	4	help	True	True	true	4	True
dev	1	1	en-ud-dev.conllu 1084	3	found	True	True	true	4	True
dev	10	1	en-ud-dev.conllu 1084	3	found	True	True	true	4	True
train	7	1	en-ud-train.conllu 4626	5	begin	True	True	false	4	True
train	8	1	en-ud-train.conllu 4626	5	begin	True	True	false	4	True
train	8	1	en-ud-train.conllu 9456	13	mean	True	True	true	2	True
train	7	1	en-ud-train.conllu 9456	13	mean	True	True	true	4	True
dev	16	1	en-ud-dev.conllu 1133	2	say	True	True	true	4	True
dev	10	1	en-ud-dev.conllu 1133	2	say	True	True	true	4	True
train	8	1	en-ud-train.conllu 9466	2	have	True	True	true	4	True
train	10	1	en-ud-train.conllu 9466	2	have	True	True	true	4	True
dev	8	1	en-ud-dev.conllu 1223	2	like	True	True	true	4	True
dev	16	1	en-ud-dev.conllu 1223	2	like	True	True	true	4	True
train	20	1	en-ud-train.conllu 4648	2	join	True	True	true	3	True
train	19	1	en-ud-train.conllu 4648	2	join	True	True	true	4	True
train	10	1	en-ud-train.conllu 9491	4	do	True	True	true	3	True
train	1	1	en-ud-train.conllu 9491	4	do	True	True	false	2	True
dev	7	1	en-ud-dev.conllu 1277	8	spend	True	True	false	4	True
dev	1	1	en-ud-dev.conllu 1277	8	spend	True	True	false	3	True
train	1	1	en-ud-train.conllu 9509	10	advise	True	True	false	3	True
train	10	1	en-ud-train.conllu 9509	10	advise	True	True	true	4	True
train	7	1	en-ud-train.conllu 4701	3	estimate	True	True	true	4	True
train	1	1	en-ud-train.conllu 4701	3	estimate	True	True	true	4	True
dev	16	1	en-ud-dev.conllu 1304	2	se	True	True	true	4	True
dev	1	1	en-ud-dev.conllu 1304	2	se	False	False	na	na	True
train	7	1	en-ud-train.conllu 4755	2	decide	True	True	true	4	True
train	1	1	en-ud-train.conllu 4755	2	decide	True	True	true	4	True
train	18	1	en-ud-train.conllu 9535	27	put	True	True	false	3	True
train	1	1	en-ud-train.conllu 9535	27	put	True	True	false	2	True
dev	16	1	en-ud-dev.conllu 1354	2	want	True	True	true	4	True
dev	18	1	en-ud-dev.conllu 1354	2	want	True	True	true	4	True
train	7	1	en-ud-train.conllu 9580	2	look	True	True	false	1	True
train	1	1	en-ud-train.conllu 9580	2	look	True	True	true	4	True
dev	1	1	en-ud-dev.conllu 1355	20	pay	True	True	false	4	True
dev	23	1	en-ud-dev.conllu 1355	20	pay	True	True	false	3	True
train	7	1	en-ud-train.conllu 4764	2	tell	True	True	true	4	True
train	18	1	en-ud-train.conllu 4764	2	tell	True	True	true	4	True
train	7	1	en-ud-train.conllu 9598	3	offer	True	True	true	4	True
train	14	1	en-ud-train.conllu 9598	3	offer	True	True	true	3	True
train	6	1	en-ud-train.conllu 118	16	treat	True	True	true	4	True
train	1	1	en-ud-train.conllu 118	16	treat	True	True	true	4	True
train	16	1	en-ud-train.conllu 4798	3	show	True	True	true	4	True
train	20	1	en-ud-train.conllu 4798	3	show	True	True	true	3	True
dev	8	1	en-ud-dev.conllu 1379	17	attack	True	True	true	4	True
dev	14	1	en-ud-dev.conllu 1379	17	attack	True	True	true	4	True
train	6	1	en-ud-train.conllu 4872	2	need	True	True	true	4	True
train	14	1	en-ud-train.conllu 4872	2	need	True	True	true	4	True
train	8	1	en-ud-train.conllu 9621	15	see	True	True	true	2	True
train	1	1	en-ud-train.conllu 9621	15	see	True	True	false	3	True
train	7	1	en-ud-train.conllu 125	19	see	True	True	true	4	True
train	1	1	en-ud-train.conllu 125	19	see	True	True	true	1	True
dev	12	1	en-ud-dev.conllu 1417	2	have	False	True	na	na	True
dev	4	1	en-ud-dev.conllu 1417	2	have	False	True	na	na	True
train	1	1	en-ud-train.conllu 9633	7	do	True	True	true	4	True
train	10	1	en-ud-train.conllu 9633	7	do	True	True	true	4	True
train	16	1	en-ud-train.conllu 4942	6	have	True	True	false	4	True
train	7	1	en-ud-train.conllu 4942	6	have	True	True	false	4	True
dev	8	1	en-ud-dev.conllu 1434	9	get	True	True	false	3	True
dev	21	1	en-ud-dev.conllu 1434	9	get	True	True	false	2	True
train	16	1	en-ud-train.conllu 145	6	use	True	True	true	2	True
train	1	1	en-ud-train.conllu 145	6	use	True	True	true	4	True
train	1	1	en-ud-train.conllu 9660	7	call	True	True	false	3	True
train	16	1	en-ud-train.conllu 9660	7	call	True	True	false	4	True
train	18	1	en-ud-train.conllu 4993	17	have	True	True	true	2	True
train	21	1	en-ud-train.conllu 4993	17	have	True	True	true	3	True
dev	14	1	en-ud-dev.conllu 1598	11	look	True	True	true	4	True
dev	1	1	en-ud-dev.conllu 1598	11	look	True	True	true	4	True
train	7	1	en-ud-train.conllu 9697	4	leave	True	True	true	4	True
train	14	1	en-ud-train.conllu 9697	4	leave	True	True	true	4	True
train	8	1	en-ud-train.conllu 159	19	create	True	True	false	4	True
train	1	1	en-ud-train.conllu 159	19	create	True	True	false	4	True
train	14	1	en-ud-train.conllu 9723	2	have	True	True	true	4	True
train	1	1	en-ud-train.conllu 9723	2	have	True	True	true	4	True
train	16	1	en-ud-train.conllu 165	29	hoist	True	True	true	4	True
train	14	1	en-ud-train.conllu 165	29	hoist	True	True	true	4	True
train	14	1	en-ud-train.conllu 9737	17	chew	False	True	na	na	True
train	6	1	en-ud-train.conllu 9737	17	chew	True	True	true	4	True
train	6	1	en-ud-train.conllu 179	4	wait	False	True	na	na	True
train	8	1	en-ud-train.conllu 179	4	wait	True	True	false	3	True
train	22	1	en-ud-train.conllu 5010	27	have	True	True	true	4	True
train	10	1	en-ud-train.conllu 5010	27	have	True	True	true	4	True
train	1	1	en-ud-train.conllu 188	6	know	True	True	true	4	True
train	7	1	en-ud-train.conllu 188	6	know	True	True	false	4	True
train	16	1	en-ud-train.conllu 5103	10	serve	True	True	false	4	True
train	10	1	en-ud-train.conllu 5103	10	serve	True	True	true	4	True
train	8	1	en-ud-train.conllu 9771	5	go	True	True	false	4	True
train	10	1	en-ud-train.conllu 9771	5	go	True	True	true	4	True
dev	14	1	en-ud-dev.conllu 1706	5	call	True	True	true	4	True
dev	10	1	en-ud-dev.conllu 1706	5	call	True	True	true	4	True
train	1	1	en-ud-train.conllu 5105	35	buy	False	True	na	na	True
train	16	1	en-ud-train.conllu 5105	35	buy	True	True	true	3	True
dev	16	1	en-ud-dev.conllu 1778	2	love	True	True	true	4	True
dev	1	1	en-ud-dev.conllu 1778	2	love	True	True	true	4	True
train	16	1	en-ud-train.conllu 9790	10	notice	True	True	true	4	True
train	18	1	en-ud-train.conllu 9790	10	notice	True	True	true	3	True
dev	16	1	en-ud-dev.conllu 1791	2	find	True	True	true	4	True
dev	1	1	en-ud-dev.conllu 1791	2	find	True	True	true	4	True
train	1	1	en-ud-train.conllu 202	15	believe	True	True	true	4	True
train	14	1	en-ud-train.conllu 202	15	believe	True	True	true	4	True
train	14	1	en-ud-train.conllu 5107	12	file	True	True	true	4	True
train	18	1	en-ud-train.conllu 5107	12	file	True	True	true	4	True
train	14	1	en-ud-train.conllu 9801	15	prevent	True	True	true	4	True
train	1	1	en-ud-train.conllu 9801	15	prevent	True	True	false	3	True
dev	7	1	en-ud-dev.conllu 1823	12	think	True	True	true	4	True
dev	14	1	en-ud-dev.conllu 1823	12	think	True	True	true	4	True
train	16	1	en-ud-train.conllu 223	7	have	True	True	true	4	True
train	1	1	en-ud-train.conllu 223	7	have	True	True	true	4	True
train	8	1	en-ud-train.conllu 9822	2	do	True	True	true	4	True
train	1	1	en-ud-train.conllu 9822	2	do	True	True	true	4	True
train	16	1	en-ud-train.conllu 5111	15	mount	True	True	true	3	True
train	1	1	en-ud-train.conllu 5111	15	mount	True	True	true	3	True
train	6	1	en-ud-train.conllu 249	14	encourage	True	True	false	4	True
train	1	1	en-ud-train.conllu 249	14	encourage	True	True	false	2	True
dev	7	1	en-ud-dev.conllu 1898	3	have	True	True	true	4	True
dev	16	1	en-ud-dev.conllu 1898	3	have	True	True	true	4	True
train	8	1	en-ud-train.conllu 5120	7	grin	True	True	true	4	True
train	1	1	en-ud-train.conllu 5120	7	grin	True	True	true	4	True
train	18	1	en-ud-train.conllu 261	19	tell	True	True	true	4	True
train	1	1	en-ud-train.conllu 261	19	tell	True	True	true	4	True
dev	14	1	en-ud-dev.conllu 1923	28	eat	True	True	true	4	True
dev	1	1	en-ud-dev.conllu 1923	28	eat	True	True	true	2	True
train	14	1	en-ud-train.conllu 265	50	keep	True	True	true	4	True
train	7	1	en-ud-train.conllu 265	50	keep	True	True	false	2	True
train	8	1	en-ud-train.conllu 5124	4	remove	True	True	false	4	True
train	1	1	en-ud-train.conllu 5124	4	remove	True	True	true	4	True
dev	14	1	en-ud-dev.conllu 1940	3	take	True	True	true	4	True
dev	1	1	en-ud-dev.conllu 1940	3	take	True	True	true	4	True
dev	18	1	en-ud-dev.conllu 1971	2	recommend	True	True	true	4	True
dev	14	1	en-ud-dev.conllu 1971	2	recommend	True	True	true	4	True
train	16	1	en-ud-train.conllu 270	5	chair	True	True	true	4	True
train	1	1	en-ud-train.conllu 270	5	chair	True	True	true	4	True
train	8	1	en-ud-train.conllu 9842	4	take	True	True	true	4	True
train	1	1	en-ud-train.conllu 9842	4	take	True	True	true	4	True
train	6	1	en-ud-train.conllu 5126	24	violate	True	True	false	4	True
train	1	1	en-ud-train.conllu 5126	24	violate	True	True	false	4	True
dev	18	1	en-ud-dev.conllu 1994	24	go	True	True	true	4	True
dev	16	1	en-ud-dev.conllu 1994	24	go	True	True	true	4	True
train	14	1	en-ud-train.conllu 9857	14	go	True	True	true	4	True
train	1	1	en-ud-train.conllu 9857	14	go	True	True	true	4	True
test	20	1	en-ud-test.conllu 5	4	argue	True	True	true	3	True
test	1	1	en-ud-test.conllu 5	4	argue	True	True	true	4	True
train	1	1	en-ud-train.conllu 5132	29	avert	True	True	true	4	True
train	20	1	en-ud-train.conllu 5132	29	avert	True	True	true	3	True
train	16	1	en-ud-train.conllu 9879	15	do	True	True	true	4	True
train	22	1	en-ud-train.conllu 9879	15	do	True	True	true	4	True
train	16	1	en-ud-train.conllu 271	40	tell	True	True	true	4	True
train	8	1	en-ud-train.conllu 271	40	tell	True	True	true	4	True
train	1	1	en-ud-train.conllu 5141	38	say	True	True	true	4	True
train	16	1	en-ud-train.conllu 5141	38	say	True	True	true	4	True
train	16	1	en-ud-train.conllu 9909	2	go	True	True	true	4	True
train	0	1	en-ud-train.conllu 9909	2	go	False	True	na	na	True
test	14	1	en-ud-test.conllu 15	5	show	True	True	true	4	True
test	1	1	en-ud-test.conllu 15	5	show	True	True	true	4	True
train	6	1	en-ud-train.conllu 5146	2	say	True	True	true	4	True
train	14	1	en-ud-train.conllu 5146	2	say	True	True	true	4	True
train	7	1	en-ud-train.conllu 277	21	fail	True	True	true	4	True
train	14	1	en-ud-train.conllu 277	21	fail	True	True	true	4	True
train	16	1	en-ud-train.conllu 9941	2	enjoy	True	True	true	4	True
train	7	1	en-ud-train.conllu 9941	2	enjoy	True	True	true	4	True
train	8	1	en-ud-train.conllu 9962	5	feel	True	True	true	4	True
train	18	1	en-ud-train.conllu 9962	5	feel	True	True	false	3	True
train	21	1	en-ud-train.conllu 285	45	separate	True	True	true	4	True
train	1	1	en-ud-train.conllu 285	45	separate	True	True	true	4	True
train	16	1	en-ud-train.conllu 5150	8	address	True	True	true	4	True
train	1	1	en-ud-train.conllu 5150	8	address	True	True	true	4	True
test	14	1	en-ud-test.conllu 29	16	start	True	True	false	4	True
train	7	1	en-ud-train.conllu 5155	9	say	True	True	true	4	True
train	22	1	en-ud-train.conllu 5155	9	say	True	True	true	4	True
train	8	1	en-ud-train.conllu 10010	7	watch	True	True	true	4	True
train	1	1	en-ud-train.conllu 10010	7	watch	True	True	true	4	True
test	16	1	en-ud-test.conllu 42	30	announce	True	True	true	4	True
test	17	1	en-ud-test.conllu 42	30	announce	True	True	true	3	True
train	18	1	en-ud-train.conllu 303	46	prize	True	True	false	4	True
train	14	1	en-ud-train.conllu 303	46	prize	True	True	false	3	True
train	16	1	en-ud-train.conllu 10025	8	use	True	True	true	4	True
train	8	1	en-ud-train.conllu 10025	8	use	True	True	true	4	True
train	14	1	en-ud-train.conllu 329	3	know	True	True	true	4	True
train	16	1	en-ud-train.conllu 329	3	know	True	True	true	4	True
train	14	1	en-ud-train.conllu 10047	2	want	True	False	na	na	True
train	1	1	en-ud-train.conllu 10047	2	want	True	True	true	3	True
test	8	1	en-ud-test.conllu 50	12	divide	True	True	true	4	True
test	1	1	en-ud-test.conllu 50	12	divide	True	True	true	4	True
train	14	1	en-ud-train.conllu 5158	17	lead	True	True	false	3	True
train	20	1	en-ud-train.conllu 5158	17	lead	True	True	false	3	True
test	7	1	en-ud-test.conllu 55	4	dissent	False	True	na	na	True
test	14	1	en-ud-test.conllu 55	4	dissent	False	True	na	na	True
train	16	1	en-ud-train.conllu 363	8	rack	True	True	true	4	True
train	10	1	en-ud-train.conllu 363	8	rack	True	True	true	4	True
train	7	1	en-ud-train.conllu 5161	14	do	True	True	false	4	True
train	14	1	en-ud-train.conllu 5161	14	do	True	True	true	4	True
test	8	1	en-ud-test.conllu 61	4	go	True	True	true	4	True
test	1	1	en-ud-test.conllu 61	4	go	True	True	false	2	True
train	1	1	en-ud-train.conllu 368	7	earn	True	True	true	4	True
train	16	1	en-ud-train.conllu 368	7	earn	True	True	true	4	True
train	7	1	en-ud-train.conllu 10095	22	place	True	True	true	4	True
train	21	1	en-ud-train.conllu 10095	22	place	True	True	true	3	True
train	9	1	en-ud-train.conllu 5165	16	find	True	True	true	4	True
train	14	1	en-ud-train.conllu 5165	16	find	True	True	true	4	True
test	1	1	en-ud-test.conllu 84	28	accept	True	True	true	4	True
test	10	1	en-ud-test.conllu 84	28	accept	True	True	true	4	True
train	22	1	en-ud-train.conllu 10113	2	end	True	True	true	4	True
train	10	1	en-ud-train.conllu 10113	2	end	True	True	true	4	True
train	16	1	en-ud-train.conllu 374	36	go	True	True	true	3	True
train	20	1	en-ud-train.conllu 374	36	go	False	True	na	na	True
test	8	1	en-ud-test.conllu 105	23	beware	True	True	false	4	True
test	7	1	en-ud-test.conllu 105	23	beware	True	True	true	4	True
train	18	1	en-ud-train.conllu 5222	14	pend	True	True	false	4	True
train	1	1	en-ud-train.conllu 5222	14	pend	True	True	true	4	True
train	22	1	en-ud-train.conllu 383	9	earn	True	True	true	4	True
train	14	1	en-ud-train.conllu 383	9	earn	True	True	true	4	True
train	8	1	en-ud-train.conllu 10152	4	help	True	True	true	4	True
train	14	1	en-ud-train.conllu 10152	4	help	True	True	true	4	True
train	8	1	en-ud-train.conllu 5306	9	intend	True	True	true	4	True
train	1	1	en-ud-train.conllu 5306	9	intend	True	True	true	4	True
test	8	1	en-ud-test.conllu 108	64	view	True	True	false	4	True
test	1	1	en-ud-test.conllu 108	64	view	True	True	false	2	True
train	1	1	en-ud-train.conllu 391	25	increase	True	True	false	1	True
train	10	1	en-ud-train.conllu 391	25	increase	True	True	true	4	True
train	8	1	en-ud-train.conllu 10163	2	love	True	True	true	4	True
train	22	1	en-ud-train.conllu 10163	2	love	True	True	true	4	True
test	7	1	en-ud-test.conllu 157	14	allow	True	True	false	2	True
test	5	1	en-ud-test.conllu 157	14	allow	True	True	true	3	True
train	7	1	en-ud-train.conllu 5404	6	flow	True	True	false	2	True
train	5	1	en-ud-train.conllu 5404	6	flow	True	True	true	3	True
train	14	1	en-ud-train.conllu 408	14	loom	True	True	false	4	True
train	5	1	en-ud-train.conllu 408	14	loom	True	True	false	2	True
train	16	1	en-ud-train.conllu 5463	5	include	True	True	true	4	True
train	1	1	en-ud-train.conllu 5463	5	include	True	True	true	4	True
train	16	1	en-ud-train.conllu 10198	2	sit	True	True	true	4	True
train	1	1	en-ud-train.conllu 10198	2	sit	True	True	true	4	True
train	8	1	en-ud-train.conllu 417	29	abuse	True	True	true	4	True
train	1	1	en-ud-train.conllu 417	29	abuse	True	True	true	4	True
train	7	1	en-ud-train.conllu 10242	6	complete	True	True	true	4	True
train	1	1	en-ud-train.conllu 10242	6	complete	True	True	true	4	True
train	7	1	en-ud-train.conllu 5534	5	represent	True	True	true	4	True
train	21	1	en-ud-train.conllu 5534	5	represent	True	True	true	4	True
test	8	1	en-ud-test.conllu 188	2	lie	True	True	true	4	True
test	16	1	en-ud-test.conllu 188	2	lie	True	True	true	4	True
train	22	1	en-ud-train.conllu 10280	2	set	True	True	false	2	True
train	1	1	en-ud-train.conllu 10280	2	set	True	True	true	4	True
train	6	1	en-ud-train.conllu 434	14	use	True	True	true	4	True
train	1	1	en-ud-train.conllu 434	14	use	True	True	true	4	True
test	6	1	en-ud-test.conllu 203	14	go	True	True	false	4	True
test	14	1	en-ud-test.conllu 203	14	go	True	True	false	2	True
train	6	1	en-ud-train.conllu 10302	2	visit	True	True	true	4	True
train	1	1	en-ud-train.conllu 10302	2	visit	True	True	true	4	True
train	7	1	en-ud-train.conllu 444	17	neighbour	True	True	true	4	True
train	16	1	en-ud-train.conllu 444	17	neighbour	True	True	true	4	True
train	1	1	en-ud-train.conllu 5539	35	canoe	True	True	true	3	True
train	20	1	en-ud-train.conllu 5539	35	canoe	True	True	true	2	True
train	22	1	en-ud-train.conllu 5547	10	unzip	True	True	true	4	True
train	14	1	en-ud-train.conllu 5547	10	unzip	True	True	true	4	True
train	14	1	en-ud-train.conllu 10325	5	eat	True	True	true	4	True
train	18	1	en-ud-train.conllu 10325	5	eat	True	True	true	4	True
train	21	1	en-ud-train.conllu 478	2	happen	True	True	true	3	True
train	14	1	en-ud-train.conllu 478	2	happen	True	True	true	4	True
test	7	1	en-ud-test.conllu 228	2	use	False	True	na	na	True
test	16	1	en-ud-test.conllu 228	2	use	True	True	true	4	True
train	16	1	en-ud-train.conllu 5559	8	airlift	True	True	true	4	True
train	14	1	en-ud-train.conllu 5559	8	airlift	True	True	true	4	True
train	7	1	en-ud-train.conllu 485	2	expect	True	True	true	4	True
train	18	1	en-ud-train.conllu 485	2	expect	True	True	true	2	True
train	16	1	en-ud-train.conllu 495	18	recruit	True	True	true	4	True
train	1	1	en-ud-train.conllu 495	18	recruit	True	True	true	4	True
test	14	1	en-ud-test.conllu 269	7	go	True	False	na	na	True
test	21	1	en-ud-test.conllu 269	7	go	True	True	false	4	True
train	20	1	en-ud-train.conllu 10344	2	suck	True	True	true	2	True
train	1	1	en-ud-train.conllu 10344	2	suck	True	True	true	4	True
train	7	1	en-ud-train.conllu 507	7	sign	True	True	true	4	True
train	1	1	en-ud-train.conllu 507	7	sign	True	True	true	4	True
train	8	1	en-ud-train.conllu 5576	4	derive	True	True	true	4	True
train	1	1	en-ud-train.conllu 5576	4	derive	True	True	true	4	True
test	1	1	en-ud-test.conllu 321	10	make	True	True	true	4	True
test	10	1	en-ud-test.conllu 321	10	make	True	True	true	4	True
train	1	1	en-ud-train.conllu 517	6	make	True	True	true	4	True
train	7	1	en-ud-train.conllu 517	6	make	True	True	true	4	True
train	6	1	en-ud-train.conllu 5589	29	settle	True	True	true	4	True
train	1	1	en-ud-train.conllu 5589	29	settle	True	True	true	4	True
test	7	1	en-ud-test.conllu 355	9	consider	True	True	false	4	True
test	8	1	en-ud-test.conllu 355	9	consider	True	True	false	3	True
train	14	1	en-ud-train.conllu 519	31	occur	True	True	true	4	True
train	1	1	en-ud-train.conllu 519	31	occur	True	True	true	4	True
test	16	1	en-ud-test.conllu 409	5	have	True	True	true	4	True
test	8	1	en-ud-test.conllu 409	5	have	True	True	true	4	True
train	6	1	en-ud-train.conllu 5610	9	recruit	True	True	true	4	True
train	22	1	en-ud-train.conllu 5610	9	recruit	True	True	true	4	True
train	8	1	en-ud-train.conllu 5620	24	go	True	True	false	4	True
train	9	1	en-ud-train.conllu 5620	24	go	True	True	false	2	True
train	7	1	en-ud-train.conllu 10355	8	close	True	True	false	2	True
train	14	1	en-ud-train.conllu 10355	8	close	True	True	true	4	True
train	7	1	en-ud-train.conllu 552	19	have	True	True	true	4	True
train	8	1	en-ud-train.conllu 552	19	have	True	True	false	4	True
test	9	1	en-ud-test.conllu 447	2	show	True	True	true	4	True
test	8	1	en-ud-test.conllu 447	2	show	True	True	true	4	True
train	6	1	en-ud-train.conllu 566	20	surround	True	True	true	4	True
train	8	1	en-ud-train.conllu 566	20	surround	True	True	true	4	True
train	7	1	en-ud-train.conllu 5636	14	work	True	True	false	4	True
train	14	1	en-ud-train.conllu 5636	14	work	True	True	true	4	True
train	14	1	en-ud-train.conllu 10373	5	vomit	True	True	true	4	True
train	12	1	en-ud-train.conllu 10373	5	vomit	True	True	true	4	True
test	6	1	en-ud-test.conllu 498	3	seem	True	True	true	4	True
test	1	1	en-ud-test.conllu 498	3	seem	True	True	true	4	True
train	7	1	en-ud-train.conllu 10404	14	get	True	True	false	4	True
train	14	1	en-ud-train.conllu 10404	14	get	True	True	true	4	True
train	12	1	en-ud-train.conllu 5656	2	play	True	False	na	na	True
train	18	1	en-ud-train.conllu 5656	2	play	True	True	false	2	True
test	16	1	en-ud-test.conllu 556	9	confirm	True	True	true	4	True
test	5	1	en-ud-test.conllu 556	9	confirm	True	True	true	3	True
train	14	1	en-ud-train.conllu 5708	3	pray	True	True	true	4	True
train	7	1	en-ud-train.conllu 10431	19	recieve	True	True	false	4	True
train	16	1	en-ud-train.conllu 10431	19	recieve	True	True	false	4	True
train	7	1	en-ud-train.conllu 576	23	overrun	True	True	true	3	True
train	18	1	en-ud-train.conllu 576	23	overrun	True	True	true	4	True
test	14	1	en-ud-test.conllu 566	2	try	True	True	true	4	True
test	7	1	en-ud-test.conllu 566	2	try	True	True	true	4	True
train	1	1	en-ud-train.conllu 584	25	bring	True	True	true	4	True
train	21	1	en-ud-train.conllu 584	25	bring	True	True	true	4	True
train	7	1	en-ud-train.conllu 5727	37	require	True	True	true	4	True
train	21	1	en-ud-train.conllu 5727	37	require	True	True	true	3	True
train	14	1	en-ud-train.conllu 10456	2	use	True	True	true	4	True
train	18	1	en-ud-train.conllu 10456	2	use	True	True	true	4	True
test	7	1	en-ud-test.conllu 570	17	think	True	True	true	3	True
test	14	1	en-ud-test.conllu 570	17	think	True	True	true	4	True
train	8	1	en-ud-train.conllu 596	6	destroy	True	True	true	4	True
train	1	1	en-ud-train.conllu 596	6	destroy	False	True	na	na	True
train	6	1	en-ud-train.conllu 10491	2	interview	True	True	true	4	True
train	1	1	en-ud-train.conllu 10491	2	interview	True	True	true	4	True
test	22	1	en-ud-test.conllu 583	2	offer	True	True	true	2	True
test	6	1	en-ud-test.conllu 583	2	offer	True	True	true	4	True
train	1	1	en-ud-train.conllu 603	7	report	True	True	true	4	True
train	18	1	en-ud-train.conllu 603	7	report	True	True	true	4	True
